condition,eval_domain,task_id,z,fold_id,k_start,immediate_nonconstant,immediate_fsr,immediate_tr,immediate_oracle_minimum_errors,immediate_strict_inversion,immediate_tie_only_failure,immediate_raw_errors,immediate_raw_correct,immediate_raw_points,immediate_raw_accuracy,immediate_raw_sequence_correct,immediate_raw_tce,immediate_learned_errors,immediate_learned_correct,immediate_learned_points,immediate_learned_accuracy,immediate_learned_sequence_correct,immediate_learned_tce,immediate_oracle_errors,immediate_oracle_correct,immediate_oracle_points,immediate_oracle_accuracy,immediate_oracle_sequence_correct,immediate_oracle_tce,immediate_raw_minus_learned_errors,immediate_learned_minus_oracle_errors,rts_nonconstant,rts_fsr,rts_tr,rts_oracle_minimum_errors,rts_strict_inversion,rts_tie_only_failure,rts_raw_errors,rts_raw_correct,rts_raw_points,rts_raw_accuracy,rts_raw_sequence_correct,rts_raw_tce,rts_learned_errors,rts_learned_correct,rts_learned_points,rts_learned_accuracy,rts_learned_sequence_correct,rts_learned_tce,rts_oracle_errors,rts_oracle_correct,rts_oracle_points,rts_oracle_accuracy,rts_oracle_sequence_correct,rts_oracle_tce,rts_raw_minus_learned_errors,rts_learned_minus_oracle_errors
explicit_bare,k0_8,HumanEval/1,0,2,0,1,1,1,0,0,0,6,3,9,0.3333333333333333,0,3,7,2,9,0.2222222222222222,0,7,0,9,9,1.0,1,0,-1,7,1,0,0,1,1,0,7,2,9,0.2222222222222222,0,7,7,2,9,0.2222222222222222,0,7,1,8,9,0.8888888888888888,0,1,0,6
explicit_bare,k0_8,HumanEval/100,0,1,0,1,1,1,0,0,0,0,9,9,1.0,1,0,0,9,9,1.0,1,0,0,9,9,1.0,1,0,0,0,1,1,1,0,0,0,0,9,9,1.0,1,0,0,9,9,1.0,1,0,0,9,9,1.0,1,0,0,0
explicit_bare,k0_8,HumanEval/101,7,4,0,1,1,1,0,0,0,1,8,9,0.8888888888888888,0,1,0,9,9,1.0,1,0,0,9,9,1.0,1,0,1,0,1,1,1,0,0,0,1,8,9,0.8888888888888888,0,1,1,8,9,0.8888888888888888,0,1,0,9,9,1.0,1,0,0,1
explicit_bare,k0_8,HumanEval/102,6,0,0,1,1,1,0,0,0,6,3,9,0.3333333333333333,0,6,6,3,9,0.3333333333333333,0,6,0,9,9,1.0,1,0,0,6,1,0,0,1,1,0,6,3,9,0.3333333333333333,0,6,6,3,9,0.3333333333333333,0,6,1,8,9,0.8888888888888888,0,1,0,5
explicit_bare,k0_8,HumanEval/103,7,3,0,1,1,1,0,0,0,0,9,9,1.0,1,0,0,9,9,1.0,1,0,0,9,9,1.0,1,0,0,0,1,1,1,0,0,0,1,8,9,0.8888888888888888,0,1,1,8,9,0.8888888888888888,0,1,0,9,9,1.0,1,0,0,1
explicit_bare,k0_8,HumanEval/104,0,3,0,1,1,1,0,0,0,8,1,9,0.1111111111111111,0,8,8,1,9,0.1111111111111111,0,8,0,9,9,1.0,1,0,0,8,1,0,0,1,1,0,8,1,9,0.1111111111111111,0,8,8,1,9,0.1111111111111111,0,8,1,8,9,0.8888888888888888,0,1,0,7
explicit_bare,k0_8,HumanEval/107,0,2,0,1,1,1,0,0,0,0,9,9,1.0,1,0,0,9,9,1.0,1,0,0,9,9,1.0,1,0,0,0,1,1,1,0,0,0,0,9,9,1.0,1,0,2,7,9,0.7777777777777778,0,0,0,9,9,1.0,1,0,-2,2
explicit_bare,k0_8,HumanEval/108,0,0,0,1,1,1,0,0,0,7,2,9,0.2222222222222222,0,7,8,1,9,0.1111111111111111,0,8,0,9,9,1.0,1,0,-1,8,1,0,0,1,1,0,8,1,9,0.1111111111111111,0,8,8,1,9,0.1111111111111111,0,8,1,8,9,0.8888888888888888,0,1,0,7
explicit_bare,k0_8,HumanEval/109,0,4,0,1,1,1,0,0,0,0,9,9,1.0,1,0,0,9,9,1.0,1,0,0,9,9,1.0,1,0,0,0,1,1,1,0,0,0,0,9,9,1.0,1,0,0,9,9,1.0,1,0,0,9,9,1.0,1,0,0,0
explicit_bare,k0_8,HumanEval/112,0,3,0,1,1,1,0,0,0,0,9,9,1.0,1,0,0,9,9,1.0,1,0,0,9,9,1.0,1,0,0,0,1,0,1,1,1,0,1,8,9,0.8888888888888888,0,0,1,8,9,0.8888888888888888,0,0,1,8,9,0.8888888888888888,0,0,0,0
