condition,eval_domain,subset,protocol,n_tasks,nonconstant_n,fsr_successes,fsrr,tr_successes,trr,constant_n,oracle_recoverable_all,oracle_recoverability_all,minimum_errors_total,minimum_errors_mean,strict_inversion_tasks,tie_only_failure_tasks,tr_success_fsr_failure_tasks
explicit_bare,k0_8,all,immediate,77,51,41,0.803921568627451,44,0.8627450980392157,26,67,0.8701298701298701,15,0.19480519480519481,10,0,3
explicit_bare,k0_8,all,rts,77,51,22,0.43137254901960786,31,0.6078431372549019,26,48,0.6233766233766234,45,0.5844155844155844,29,0,9
explicit_bare,k0_8,partial,immediate,23,23,13,0.5652173913043478,16,0.6956521739130435,0,13,0.5652173913043478,15,0.6521739130434783,10,0,3
explicit_bare,k0_8,partial,rts,23,23,5,0.21739130434782608,10,0.43478260869565216,0,5,0.21739130434782608,34,1.4782608695652173,18,0,5
original_bare,k0_8,all,immediate,79,53,17,0.32075471698113206,19,0.3584905660377358,26,43,0.5443037974683544,45,0.569620253164557,36,0,2
original_bare,k0_8,all,rts,79,53,16,0.3018867924528302,24,0.4528301886792453,26,42,0.5316455696202531,51,0.6455696202531646,37,0,8
original_bare,k0_8,partial,immediate,23,23,9,0.391304347826087,10,0.43478260869565216,0,9,0.391304347826087,23,1.0,14,0,1
original_bare,k0_8,partial,rts,23,23,2,0.08695652173913043,4,0.17391304347826086,0,2,0.08695652173913043,35,1.5217391304347827,21,0,2
original_bare,k1_8,all,immediate,79,23,12,0.5217391304347826,15,0.6521739130434783,56,68,0.8607594936708861,14,0.17721518987341772,11,0,3
original_bare,k1_8,all,rts,79,23,4,0.17391304347826086,7,0.30434782608695654,56,60,0.759493670886076,29,0.3670886075949367,19,0,3
original_bare,k1_8,partial,immediate,23,23,12,0.5217391304347826,15,0.6521739130434783,0,12,0.5217391304347826,14,0.6086956521739131,11,0,3
original_bare,k1_8,partial,rts,23,23,4,0.17391304347826086,7,0.30434782608695654,0,4,0.17391304347826086,29,1.2608695652173914,19,0,3
original_union,k0_8,all,immediate,79,53,17,0.32075471698113206,19,0.3584905660377358,26,43,0.5443037974683544,45,0.569620253164557,36,0,2
original_union,k0_8,all,rts,79,53,16,0.3018867924528302,24,0.4528301886792453,26,42,0.5316455696202531,51,0.6455696202531646,37,0,8
original_union,k0_8,partial,immediate,23,23,9,0.391304347826087,10,0.43478260869565216,0,9,0.391304347826087,23,1.0,14,0,1
original_union,k0_8,partial,rts,23,23,2,0.08695652173913043,4,0.17391304347826086,0,2,0.08695652173913043,35,1.5217391304347827,21,0,2
