condition,eval_domain,subset,protocol,regime,n_tasks,primary_population_n,extra_missing_tasks,missing_points_in_evaluated_population,correct,points,accuracy,sequence_successes,sequence_denominator,sequence_label,sequence_correctness,tce_total,mean_tce,total_errors,mean_errors
explicit_bare,k0_8,all,immediate,raw,77,79,2,0,500,693,0.7215007215007215,29,77,all-nine,0.37662337662337664,201,2.6103896103896105,193,2.5064935064935066
explicit_bare,k0_8,all,immediate,learned,77,79,2,0,502,693,0.7243867243867244,27,77,all-nine,0.35064935064935066,209,2.7142857142857144,191,2.4805194805194803
explicit_bare,k0_8,all,immediate,oracle,77,79,2,0,678,693,0.9783549783549783,67,77,all-nine,0.8701298701298701,14,0.18181818181818182,15,0.19480519480519481
explicit_bare,k0_8,all,rts,raw,77,79,2,0,521,693,0.7518037518037518,29,77,all-nine,0.37662337662337664,180,2.3376623376623376,172,2.2337662337662336
explicit_bare,k0_8,all,rts,learned,77,79,2,0,508,693,0.733044733044733,27,77,all-nine,0.35064935064935066,191,2.4805194805194803,185,2.4025974025974026
explicit_bare,k0_8,all,rts,oracle,77,79,2,0,648,693,0.935064935064935,48,77,all-nine,0.6233766233766234,52,0.6753246753246753,45,0.5844155844155844
explicit_bare,k0_8,partial,immediate,raw,23,23,0,0,123,207,0.5942028985507246,2,23,all-nine,0.08695652173913043,86,3.739130434782609,84,3.652173913043478
explicit_bare,k0_8,partial,immediate,learned,23,23,0,0,132,207,0.6376811594202898,4,23,all-nine,0.17391304347826086,77,3.347826086956522,75,3.260869565217391
explicit_bare,k0_8,partial,immediate,oracle,23,23,0,0,192,207,0.927536231884058,13,23,all-nine,0.5652173913043478,14,0.6086956521739131,15,0.6521739130434783
explicit_bare,k0_8,partial,rts,raw,23,23,0,0,127,207,0.6135265700483091,0,23,all-nine,0.0,83,3.608695652173913,80,3.4782608695652173
explicit_bare,k0_8,partial,rts,learned,23,23,0,0,120,207,0.5797101449275363,0,23,all-nine,0.0,92,4.0,87,3.782608695652174
explicit_bare,k0_8,partial,rts,oracle,23,23,0,0,173,207,0.8357487922705314,5,23,all-nine,0.21739130434782608,42,1.826086956521739,34,1.4782608695652173
original_bare,k0_8,all,immediate,raw,79,79,0,0,516,711,0.7257383966244726,22,79,all-nine,0.27848101265822783,188,2.3797468354430378,195,2.4683544303797467
original_bare,k0_8,all,immediate,learned,79,79,0,0,509,711,0.7158931082981715,22,79,all-nine,0.27848101265822783,194,2.4556962025316458,202,2.5569620253164556
original_bare,k0_8,all,immediate,oracle,79,79,0,0,666,711,0.9367088607594937,43,79,all-nine,0.5443037974683544,56,0.7088607594936709,45,0.569620253164557
original_bare,k0_8,all,rts,raw,79,79,0,0,551,711,0.7749648382559775,36,79,all-nine,0.45569620253164556,156,1.9746835443037976,160,2.0253164556962027
original_bare,k0_8,all,rts,learned,79,79,0,0,557,711,0.7834036568213784,38,79,all-nine,0.4810126582278481,144,1.8227848101265822,154,1.9493670886075949
original_bare,k0_8,all,rts,oracle,79,79,0,0,660,711,0.9282700421940928,42,79,all-nine,0.5316455696202531,48,0.6075949367088608,51,0.6455696202531646
original_bare,k0_8,partial,immediate,raw,23,23,0,0,115,207,0.5555555555555556,0,23,all-nine,0.0,96,4.173913043478261,92,4.0
original_bare,k0_8,partial,immediate,learned,23,23,0,0,110,207,0.5314009661835749,0,23,all-nine,0.0,96,4.173913043478261,97,4.217391304347826
original_bare,k0_8,partial,immediate,oracle,23,23,0,0,184,207,0.8888888888888888,9,23,all-nine,0.391304347826087,34,1.4782608695652173,23,1.0
original_bare,k0_8,partial,rts,raw,23,23,0,0,143,207,0.6908212560386473,2,23,all-nine,0.08695652173913043,65,2.8260869565217392,64,2.782608695652174
original_bare,k0_8,partial,rts,learned,23,23,0,0,146,207,0.7053140096618358,2,23,all-nine,0.08695652173913043,56,2.4347826086956523,61,2.652173913043478
original_bare,k0_8,partial,rts,oracle,23,23,0,0,172,207,0.8309178743961353,2,23,all-nine,0.08695652173913043,35,1.5217391304347827,35,1.5217391304347827
original_bare,k1_8,all,immediate,raw,79,79,0,0,475,632,0.7515822784810127,45,79,all-eight,0.569620253164557,152,1.9240506329113924,157,1.9873417721518987
original_bare,k1_8,all,immediate,learned,79,79,0,0,467,632,0.7389240506329114,45,79,all-eight,0.569620253164557,163,2.0632911392405062,165,2.088607594936709
original_bare,k1_8,all,immediate,oracle,79,79,0,0,615,632,0.9731012658227848,67,79,all-eight,0.8481012658227848,14,0.17721518987341772,17,0.21518987341772153
original_bare,k1_8,all,rts,raw,79,79,0,0,485,632,0.7674050632911392,41,79,all-eight,0.5189873417721519,143,1.8101265822784811,147,1.860759493670886
original_bare,k1_8,all,rts,learned,79,79,0,0,480,632,0.759493670886076,39,79,all-eight,0.4936708860759494,142,1.7974683544303798,152,1.9240506329113924
original_bare,k1_8,all,rts,oracle,79,79,0,0,598,632,0.9462025316455697,56,79,all-eight,0.7088607594936709,30,0.379746835443038,34,0.43037974683544306
original_bare,k1_8,partial,immediate,raw,23,23,0,0,103,184,0.5597826086956522,0,23,all-eight,0.0,79,3.4347826086956523,81,3.5217391304347827
original_bare,k1_8,partial,immediate,learned,23,23,0,0,98,184,0.532608695652174,0,23,all-eight,0.0,84,3.652173913043478,86,3.739130434782609
original_bare,k1_8,partial,immediate,oracle,23,23,0,0,167,184,0.907608695652174,11,23,all-eight,0.4782608695652174,14,0.6086956521739131,17,0.7391304347826086
original_bare,k1_8,partial,rts,raw,23,23,0,0,124,184,0.6739130434782609,2,23,all-eight,0.08695652173913043,60,2.608695652173913,60,2.608695652173913
original_bare,k1_8,partial,rts,learned,23,23,0,0,123,184,0.6684782608695652,2,23,all-eight,0.08695652173913043,56,2.4347826086956523,61,2.652173913043478
original_bare,k1_8,partial,rts,oracle,23,23,0,0,153,184,0.8315217391304348,3,23,all-eight,0.13043478260869565,30,1.3043478260869565,31,1.3478260869565217
original_union,k0_8,all,immediate,raw,79,79,0,0,517,711,0.7271448663853727,22,79,all-nine,0.27848101265822783,191,2.4177215189873418,194,2.4556962025316458
original_union,k0_8,all,immediate,learned,79,79,0,0,514,711,0.7229254571026723,22,79,all-nine,0.27848101265822783,194,2.4556962025316458,197,2.4936708860759493
original_union,k0_8,all,immediate,oracle,79,79,0,0,666,711,0.9367088607594937,43,79,all-nine,0.5443037974683544,61,0.7721518987341772,45,0.569620253164557
original_union,k0_8,all,rts,raw,79,79,0,0,551,711,0.7749648382559775,36,79,all-nine,0.45569620253164556,156,1.9746835443037976,160,2.0253164556962027
original_union,k0_8,all,rts,learned,79,79,0,0,557,711,0.7834036568213784,38,79,all-nine,0.4810126582278481,144,1.8227848101265822,154,1.9493670886075949
original_union,k0_8,all,rts,oracle,79,79,0,0,660,711,0.9282700421940928,42,79,all-nine,0.5316455696202531,48,0.6075949367088608,51,0.6455696202531646
original_union,k0_8,partial,immediate,raw,23,23,0,0,117,207,0.5652173913043478,0,23,all-nine,0.0,98,4.260869565217392,90,3.9130434782608696
original_union,k0_8,partial,immediate,learned,23,23,0,0,113,207,0.5458937198067633,0,23,all-nine,0.0,101,4.391304347826087,94,4.086956521739131
original_union,k0_8,partial,immediate,oracle,23,23,0,0,184,207,0.8888888888888888,9,23,all-nine,0.391304347826087,39,1.6956521739130435,23,1.0
original_union,k0_8,partial,rts,raw,23,23,0,0,143,207,0.6908212560386473,2,23,all-nine,0.08695652173913043,65,2.8260869565217392,64,2.782608695652174
original_union,k0_8,partial,rts,learned,23,23,0,0,146,207,0.7053140096618358,2,23,all-nine,0.08695652173913043,56,2.4347826086956523,61,2.652173913043478
original_union,k0_8,partial,rts,oracle,23,23,0,0,172,207,0.8309178743961353,2,23,all-nine,0.08695652173913043,35,1.5217391304347827,35,1.5217391304347827
