condition,protocol,task_id,z,k,truth,status,margin,score_met,score_not_met,score_path,trace_path
explicit_bare,rts,HumanEval/100,0,0,1,ok,22.6875,-32.875,-55.5625,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_100__k0.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_100__k0.json
explicit_bare,rts,HumanEval/100,0,1,0,ok,-22.1875,-53.8125,-31.625,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_100__k1.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_100__k1.json
explicit_bare,rts,HumanEval/100,0,2,0,ok,-24.01953125,-55.39453125,-31.375,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_100__k2.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_100__k2.json
explicit_bare,rts,HumanEval/100,0,3,0,ok,-22.7265625,-53.8515625,-31.125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_100__k3.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_100__k3.json
explicit_bare,rts,HumanEval/100,0,4,0,ok,-21.875,-53.25,-31.375,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_100__k4.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_100__k4.json
explicit_bare,rts,HumanEval/100,0,5,0,ok,-16.0625,-47.9375,-31.875,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_100__k5.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_100__k5.json
explicit_bare,rts,HumanEval/100,0,6,0,ok,-21.3203125,-52.0703125,-30.75,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_100__k6.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_100__k6.json
explicit_bare,rts,HumanEval/100,0,7,0,ok,-22.80859375,-53.93359375,-31.125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_100__k7.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_100__k7.json
explicit_bare,rts,HumanEval/100,0,8,0,ok,-20.375,-51.625,-31.25,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_100__k8.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_100__k8.json
explicit_bare,rts,HumanEval/101,7,0,1,ok,22.453125,-34.25,-56.703125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_101__k0.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_101__k0.json
explicit_bare,rts,HumanEval/101,7,1,1,ok,23.203125,-33.375,-56.578125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_101__k1.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_101__k1.json
explicit_bare,rts,HumanEval/101,7,2,1,ok,25.078125,-33.75,-58.828125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_101__k2.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_101__k2.json
explicit_bare,rts,HumanEval/101,7,3,1,ok,23.3671875,-33.625,-56.9921875,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_101__k3.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_101__k3.json
explicit_bare,rts,HumanEval/101,7,4,1,ok,20.5,-32.875,-53.375,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_101__k4.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_101__k4.json
explicit_bare,rts,HumanEval/101,7,5,1,ok,23.6015625,-33.625,-57.2265625,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_101__k5.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_101__k5.json
explicit_bare,rts,HumanEval/101,7,6,1,ok,23.357421875,-33.625,-56.982421875,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_101__k6.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_101__k6.json
explicit_bare,rts,HumanEval/101,7,7,1,ok,24.125,-34.125,-58.25,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_101__k7.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_101__k7.json
explicit_bare,rts,HumanEval/101,7,8,0,ok,20.34375,-33.125,-53.46875,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_101__k8.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_101__k8.json
explicit_bare,rts,HumanEval/102,6,0,1,ok,21.671875,-32.25,-53.921875,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_102__k0.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_102__k0.json
explicit_bare,rts,HumanEval/102,6,1,1,ok,-15.375,-46.25,-30.875,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_102__k1.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_102__k1.json
explicit_bare,rts,HumanEval/102,6,2,1,ok,22.48828125,-33.0,-55.48828125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_102__k2.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_102__k2.json
explicit_bare,rts,HumanEval/102,6,3,1,ok,-17.46875,-47.96875,-30.5,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_102__k3.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_102__k3.json
explicit_bare,rts,HumanEval/102,6,4,1,ok,-19.578125,-49.828125,-30.25,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_102__k4.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_102__k4.json
explicit_bare,rts,HumanEval/102,6,5,1,ok,-19.03125,-50.40625,-31.375,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_102__k5.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_102__k5.json
explicit_bare,rts,HumanEval/102,6,6,1,ok,-19.0625,-50.5625,-31.5,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_102__k6.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_102__k6.json
explicit_bare,rts,HumanEval/102,6,7,0,ok,19.640625,-32.875,-52.515625,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_102__k7.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_102__k7.json
explicit_bare,rts,HumanEval/102,6,8,0,ok,-21.20703125,-52.95703125,-31.75,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_102__k8.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_102__k8.json
explicit_bare,rts,HumanEval/103,7,0,1,ok,23.15625,-32.875,-56.03125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_103__k0.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_103__k0.json
explicit_bare,rts,HumanEval/103,7,1,1,ok,27.46875,-34.125,-61.59375,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_103__k1.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_103__k1.json
explicit_bare,rts,HumanEval/103,7,2,1,ok,27.5625,-33.875,-61.4375,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_103__k2.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_103__k2.json
explicit_bare,rts,HumanEval/103,7,3,1,ok,28.4375,-33.75,-62.1875,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_103__k3.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_103__k3.json
explicit_bare,rts,HumanEval/103,7,4,1,ok,27.96875,-33.75,-61.71875,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_103__k4.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_103__k4.json
explicit_bare,rts,HumanEval/103,7,5,1,ok,28.5625,-33.625,-62.1875,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_103__k5.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_103__k5.json
explicit_bare,rts,HumanEval/103,7,6,1,ok,28.40625,-33.5,-61.90625,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_103__k6.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_103__k6.json
explicit_bare,rts,HumanEval/103,7,7,1,ok,27.5,-33.75,-61.25,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_103__k7.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_103__k7.json
explicit_bare,rts,HumanEval/103,7,8,0,ok,17.625,-32.75,-50.375,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_103__k8.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_103__k8.json
explicit_bare,rts,HumanEval/104,0,0,1,ok,22.8984375,-33.25,-56.1484375,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_104__k0.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_104__k0.json
explicit_bare,rts,HumanEval/104,0,1,0,ok,25.65625,-33.75,-59.40625,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_104__k1.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_104__k1.json
explicit_bare,rts,HumanEval/104,0,2,0,ok,24.03125,-33.25,-57.28125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_104__k2.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_104__k2.json
explicit_bare,rts,HumanEval/104,0,3,0,ok,25.21875,-33.75,-58.96875,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_104__k3.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_104__k3.json
explicit_bare,rts,HumanEval/104,0,4,0,ok,24.65625,-33.0,-57.65625,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_104__k4.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_104__k4.json
explicit_bare,rts,HumanEval/104,0,5,0,ok,27.125,-32.75,-59.875,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_104__k5.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_104__k5.json
explicit_bare,rts,HumanEval/104,0,6,0,ok,26.40625,-33.0,-59.40625,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_104__k6.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_104__k6.json
explicit_bare,rts,HumanEval/104,0,7,0,ok,26.46875,-32.375,-58.84375,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_104__k7.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_104__k7.json
explicit_bare,rts,HumanEval/104,0,8,0,ok,26.0,-33.125,-59.125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_104__k8.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_104__k8.json
