study,version,model,revision,protocol,template,score_representation,split,scope,family,subset,n_expected_tasks,n_complete_tasks,n_nontrivial,n_all_pass,n_all_fail,accuracy,accuracy_n,accuracy_lo95,accuracy_hi95,TCE,TCE_n,TCE_lo95,TCE_hi95,TRR,TRR_n,TRR_lo95,TRR_hi95,TRR_count,FSRR,FSRR_n,FSRR_lo95,FSRR_hi95,FSRR_count,trr_success_fsrr_failure,trr_success_fsrr_failure_n,trr_success_fsrr_failure_lo95,trr_success_fsrr_failure_hi95,trr_success_fsrr_failure_count,TRR_including_trivial,FSRR_including_trivial,TRR_success_FSRR_failure_share_of_TRR_success,post_hoc,bootstrap_seed,bootstrap_replicates,interval_method
CODE,original_8k_old_scorer,Qwen/Qwen2.5-14B-Instruct,cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8,immediate_readout,explicit,bare,main,all_valid,ALL,all,80,80,54,26,0,0.74166666666666659,80,0.67222222222222228,0.80416666666666681,2.3624999999999998,80,1.7625,2.9874999999999998,0.87037037037037035,54,0.77777777777777779,0.94444444444444442,47,0.81481481481481477,54,0.70370370370370372,0.90740740740740744,44,0.055555555555555552,54,0,0.12962962962962962,3,0.91249999999999998,0.875,0.063829787234042548,True,20260911,5000,artifact/task-cluster percentile 95%; degenerate intervals are not population certainty
CODE,original_8k_old_scorer,Qwen/Qwen2.5-14B-Instruct,cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8,immediate_readout,explicit,bare,main,all_valid,ALL,nontrivial,54,54,54,0,0,0.7325102880658434,54,0.65226337448559668,0.80864197530864201,2.2407407407407409,54,1.5555555555555556,2.9444444444444446,0.87037037037037035,54,0.77777777777777779,0.94444444444444442,47,0.81481481481481477,54,0.70370370370370372,0.90740740740740744,44,0.055555555555555552,54,0,0.12962962962962962,3,0.87037037037037035,0.81481481481481477,0.063829787234042548,True,20260911,5000,artifact/task-cluster percentile 95%; degenerate intervals are not population certainty
CODE,original_8k_old_scorer,Qwen/Qwen2.5-14B-Instruct,cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8,immediate_readout,explicit,bare,main,all_valid,ALL,all_pass,26,26,0,26,0,0.76068376068376076,26,0.63675213675213671,0.86752136752136755,2.6153846153846154,26,1.4990384615384618,3.8461538461538463,,0,,,0,,0,,,0,,0,,,0,1,1,,True,20260911,5000,artifact/task-cluster percentile 95%; degenerate intervals are not population certainty
CODE,original_8k_old_scorer,Qwen/Qwen2.5-14B-Instruct,cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8,immediate_readout,explicit,bare,main,all_valid,ALL,all_fail,0,0,0,0,0,,0,,,,0,,,,0,,,0,,0,,,0,,0,,,0,,,,True,20260911,5000,artifact/task-cluster percentile 95%; degenerate intervals are not population certainty
CODE,original_8k_old_scorer,Qwen/Qwen2.5-14B-Instruct,cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8,immediate_readout,explicit,bare,main,all_valid,ALL,partial,23,23,23,0,0,0.62318840579710144,23,0.52173913043478271,0.71980676328502424,3.2173913043478262,23,2.3043478260869565,4.1304347826086953,0.69565217391304346,23,0.52173913043478259,0.86956521739130432,16,0.56521739130434778,23,0.34782608695652173,0.78260869565217395,13,0.13043478260869565,23,0,0.2608695652173913,3,0.69565217391304346,0.56521739130434778,0.1875,True,20260911,5000,artifact/task-cluster percentile 95%; degenerate intervals are not population certainty
CODE,original_8k_old_scorer,Qwen/Qwen2.5-14B-Instruct,cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8,immediate_readout,explicit,bare,main,all_valid,code_acceptance,all,80,80,54,26,0,0.74166666666666659,80,0.67222222222222228,0.80416666666666681,2.3624999999999998,80,1.7625,2.9874999999999998,0.87037037037037035,54,0.77777777777777779,0.94444444444444442,47,0.81481481481481477,54,0.70370370370370372,0.90740740740740744,44,0.055555555555555552,54,0,0.12962962962962962,3,0.91249999999999998,0.875,0.063829787234042548,True,20260911,5000,artifact/task-cluster percentile 95%; degenerate intervals are not population certainty
CODE,original_8k_old_scorer,Qwen/Qwen2.5-14B-Instruct,cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8,immediate_readout,explicit,bare,main,all_valid,code_acceptance,nontrivial,54,54,54,0,0,0.7325102880658434,54,0.65226337448559668,0.80864197530864201,2.2407407407407409,54,1.5555555555555556,2.9444444444444446,0.87037037037037035,54,0.77777777777777779,0.94444444444444442,47,0.81481481481481477,54,0.70370370370370372,0.90740740740740744,44,0.055555555555555552,54,0,0.12962962962962962,3,0.87037037037037035,0.81481481481481477,0.063829787234042548,True,20260911,5000,artifact/task-cluster percentile 95%; degenerate intervals are not population certainty
CODE,original_8k_old_scorer,Qwen/Qwen2.5-14B-Instruct,cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8,immediate_readout,explicit,bare,main,all_valid,code_acceptance,all_pass,26,26,0,26,0,0.76068376068376076,26,0.63675213675213671,0.86752136752136755,2.6153846153846154,26,1.4990384615384618,3.8461538461538463,,0,,,0,,0,,,0,,0,,,0,1,1,,True,20260911,5000,artifact/task-cluster percentile 95%; degenerate intervals are not population certainty
CODE,original_8k_old_scorer,Qwen/Qwen2.5-14B-Instruct,cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8,immediate_readout,explicit,bare,main,all_valid,code_acceptance,all_fail,0,0,0,0,0,,0,,,,0,,,,0,,,0,,0,,,0,,0,,,0,,,,True,20260911,5000,artifact/task-cluster percentile 95%; degenerate intervals are not population certainty
CODE,original_8k_old_scorer,Qwen/Qwen2.5-14B-Instruct,cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8,immediate_readout,explicit,bare,main,all_valid,code_acceptance,partial,23,23,23,0,0,0.62318840579710144,23,0.52173913043478271,0.71980676328502424,3.2173913043478262,23,2.3043478260869565,4.1304347826086953,0.69565217391304346,23,0.52173913043478259,0.86956521739130432,16,0.56521739130434778,23,0.34782608695652173,0.78260869565217395,13,0.13043478260869565,23,0,0.2608695652173913,3,0.69565217391304346,0.56521739130434778,0.1875,True,20260911,5000,artifact/task-cluster percentile 95%; degenerate intervals are not population certainty
