contrast,subset,metric,n_paired,delta_right_minus_left,lo95,hi95,seed,replicates,method
LS minus S3 / Qwen/Qwen2.5-14B-Instruct,all,accuracy,324,-0.010288065843621397,-0.016803840877914953,-0.00411522633744856,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / Qwen/Qwen2.5-14B-Instruct,all,TCE,324,0.10493827160493827,0.037037037037037035,0.19135802469135801,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / Qwen/Qwen2.5-14B-Instruct,all,TRR,324,-0.040123456790123455,-0.061728395061728392,-0.021604938271604937,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / Qwen/Qwen2.5-14B-Instruct,all,FSRR,324,-0.052469135802469133,-0.07716049382716049,-0.030864197530864196,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / Qwen/Qwen2.5-14B-Instruct,nontrivial,accuracy,288,-0.012345679012345678,-0.019675925925925923,-0.0057870370370370367,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / Qwen/Qwen2.5-14B-Instruct,nontrivial,TCE,288,0.11805555555555555,0.041666666666666664,0.21527777777777779,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / Qwen/Qwen2.5-14B-Instruct,nontrivial,TRR,288,-0.045138888888888888,-0.069444444444444448,-0.024305555555555556,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / Qwen/Qwen2.5-14B-Instruct,nontrivial,FSRR,288,-0.059027777777777776,-0.086805555555555552,-0.034722222222222224,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / google/gemma-2-9b-it,all,accuracy,324,0.010631001371742114,-0.0027434842249657062,0.02503429355281207,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / google/gemma-2-9b-it,all,TCE,324,-0.098765432098765427,-0.22222222222222221,0.012345679012345678,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / google/gemma-2-9b-it,all,TRR,324,-0.07407407407407407,-0.11728395061728394,-0.030864197530864196,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / google/gemma-2-9b-it,all,FSRR,324,-0.10185185185185185,-0.14506172839506173,-0.061728395061728392,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / google/gemma-2-9b-it,nontrivial,accuracy,288,-0.010416666666666666,-0.018904320987654322,-0.0030864197530864187,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / google/gemma-2-9b-it,nontrivial,TCE,288,0.072916666666666671,0.010416666666666666,0.1423611111111111,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / google/gemma-2-9b-it,nontrivial,TRR,288,-0.083333333333333329,-0.13194444444444445,-0.034722222222222224,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / google/gemma-2-9b-it,nontrivial,FSRR,288,-0.11458333333333333,-0.15972222222222221,-0.069444444444444448,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / meta-llama/Llama-3.1-8B-Instruct,all,accuracy,324,-0.042181069958847732,-0.066186556927297663,-0.018852880658436336,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / meta-llama/Llama-3.1-8B-Instruct,all,TCE,324,-0.043209876543209874,-0.17592592592592593,0.083333333333333329,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / meta-llama/Llama-3.1-8B-Instruct,all,TRR,324,0.10802469135802469,0.049382716049382713,0.16358024691358025,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / meta-llama/Llama-3.1-8B-Instruct,all,FSRR,324,0.024691358024691357,-0.018518518518518517,0.064814814814814811,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / meta-llama/Llama-3.1-8B-Instruct,nontrivial,accuracy,288,-0.011188271604938273,-0.030092592592592598,0.008873456790123458,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / meta-llama/Llama-3.1-8B-Instruct,nontrivial,TCE,288,-0.072916666666666671,-0.21527777777777779,0.0625,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / meta-llama/Llama-3.1-8B-Instruct,nontrivial,TRR,288,0.12152777777777778,0.059027777777777776,0.18402777777777779,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / meta-llama/Llama-3.1-8B-Instruct,nontrivial,FSRR,288,0.027777777777777776,-0.017361111111111112,0.076388888888888895,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / mistralai/Mistral-7B-Instruct-v0.3,all,accuracy,324,-0.082304526748971207,-0.10905349794238682,-0.055555555555555552,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / mistralai/Mistral-7B-Instruct-v0.3,all,TCE,324,0.64506172839506171,0.36720679012345686,0.91975308641975306,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / mistralai/Mistral-7B-Instruct-v0.3,all,TRR,324,-0.012345679012345678,-0.037037037037037035,0.012345679012345678,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / mistralai/Mistral-7B-Instruct-v0.3,all,FSRR,324,0.021604938271604937,-0.0030864197530864196,0.046296296296296294,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / mistralai/Mistral-7B-Instruct-v0.3,nontrivial,accuracy,288,-0.061728395061728399,-0.086033950617283944,-0.037808641975308643,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / mistralai/Mistral-7B-Instruct-v0.3,nontrivial,TCE,288,0.3888888888888889,0.13541666666666666,0.62847222222222221,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / mistralai/Mistral-7B-Instruct-v0.3,nontrivial,TRR,288,-0.013888888888888888,-0.041666666666666664,0.013888888888888888,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / mistralai/Mistral-7B-Instruct-v0.3,nontrivial,FSRR,288,0.024305555555555556,-0.003472222222222222,0.052083333333333336,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,all,accuracy,80,0.020833333333333343,-0.031944444444444428,0.070833333333333345,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,all,TCE,80,-0.050000000000000003,-0.67500000000000004,0.58750000000000002,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,all,TRR,80,0.40000000000000002,0.28749999999999998,0.51249999999999996,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,all,FSRR,80,0.36249999999999999,0.25,0.47499999999999998,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,nontrivial,accuracy,54,0.090534979423868331,0.055555555555555573,0.1234567901234568,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,nontrivial,TCE,54,-0.83333333333333337,-1.3523148148148147,-0.27777777777777779,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,nontrivial,TRR,54,0.59259259259259256,0.44444444444444442,0.72222222222222221,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,nontrivial,FSRR,54,0.53703703703703709,0.3888888888888889,0.68518518518518523,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,partial,accuracy,23,0.082125603864734317,0.0048309178743961567,0.15458937198067635,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,partial,TCE,23,-1.1304347826086956,-2.2608695652173911,-0.086956521739130432,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,partial,TRR,23,0.34782608695652173,0.13043478260869565,0.56521739130434778,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,partial,FSRR,23,0.21739130434782608,-0.043478260869565216,0.43478260869565216,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / whitespace_union,all,accuracy,80,0.019444444444444452,-0.03472222222222221,0.072222222222222229,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / whitespace_union,all,TCE,80,-0.037499999999999999,-0.66249999999999998,0.59999999999999998,20260911,5000,post-hoc paired task-cluster percentile
