population,variant,representation,k_start,metric,unit,planned_tasks,common_complete_tasks,missing_paired_tasks,coverage,delta_A_minus_I,ci_low,ci_high,missing_bound_low,missing_bound_high,bootstrap_unit,bootstrap_replicates,bootstrap_seed,I_paired_estimate,I_paired_numerator,I_paired_denominator,I_available_estimate,I_available_numerator,I_available_denominator,I_complete_tasks,I_missing_tasks,A_paired_estimate,A_paired_numerator,A_paired_denominator,A_available_estimate,A_available_numerator,A_available_denominator,A_complete_tasks,A_missing_tasks
partial,original,bare,0,accuracy,proportion,3,3,0,1.0,0.25925925925925924,0.0,0.5555555555555556,0.25925925925925924,0.25925925925925924,task,5000,20260912,0.2962962962962963,8,27,0.2962962962962963,8,27,3,0,0.5555555555555556,15,27,0.5555555555555556,15,27,3,0
partial,original,bare,0,fsrr,proportion,3,3,0,1.0,-0.3333333333333333,-1.0,0.0,-0.3333333333333333,-0.3333333333333333,task,5000,20260912,0.3333333333333333,1,3,0.3333333333333333,1,3,3,0,0.0,0,3,0.0,0,3,3,0
partial,original,bare,0,trr,proportion,3,3,0,1.0,-0.3333333333333333,-1.0,0.0,-0.3333333333333333,-0.3333333333333333,task,5000,20260912,0.3333333333333333,1,3,0.3333333333333333,1,3,3,0,0.0,0,3,0.0,0,3,3,0
partial,original,bare,0,direct_sequence_correct,proportion,3,3,0,1.0,0.0,0.0,0.0,0.0,0.0,task,5000,20260912,0.0,0,3,0.0,0,3,3,0,0.0,0,3,0.0,0,3,3,0
partial,original,bare,0,tce,task mean threshold distance,3,3,0,1.0,-1.6666666666666667,-5.0,0.0,-1.6666666666666667,-1.6666666666666667,task,5000,20260912,6.333333333333333,19,3,6.333333333333333,19,3,3,0,4.666666666666667,14,3,4.666666666666667,14,3,3,0
partial,original,bare,0,oracle_min_errors,task mean verdict errors,3,3,0,1.0,0.3333333333333333,-1.0,1.0,0.3333333333333333,0.3333333333333333,task,5000,20260912,1.6666666666666667,5,3,1.6666666666666667,5,3,3,0,2.0,6,3,2.0,6,3,3,0
partial,original,bare,0,oracle_fsrr_all,proportion,3,3,0,1.0,-0.3333333333333333,-1.0,0.0,-0.3333333333333333,-0.3333333333333333,task,5000,20260912,0.3333333333333333,1,3,0.3333333333333333,1,3,3,0,0.0,0,3,0.0,0,3,3,0
partial,original,bare,0,oracle_trr_all,proportion,3,3,0,1.0,-0.3333333333333333,-1.0,0.0,-0.3333333333333333,-0.3333333333333333,task,5000,20260912,0.3333333333333333,1,3,0.3333333333333333,1,3,3,0,0.0,0,3,0.0,0,3,3,0
partial,original,bare,1,accuracy,proportion,3,3,0,1.0,0.25,0.0,0.5,0.25,0.25,task,5000,20260912,0.3333333333333333,8,24,0.3333333333333333,8,24,3,0,0.5833333333333334,14,24,0.5833333333333334,14,24,3,0
partial,original,bare,1,fsrr,proportion,3,3,0,1.0,-0.3333333333333333,-1.0,0.0,-0.3333333333333333,-0.3333333333333333,task,5000,20260912,0.3333333333333333,1,3,0.3333333333333333,1,3,3,0,0.0,0,3,0.0,0,3,3,0
partial,original,bare,1,trr,proportion,3,3,0,1.0,-0.3333333333333333,-1.0,0.0,-0.3333333333333333,-0.3333333333333333,task,5000,20260912,0.3333333333333333,1,3,0.3333333333333333,1,3,3,0,0.0,0,3,0.0,0,3,3,0
partial,original,bare,1,direct_sequence_correct,proportion,3,3,0,1.0,0.0,0.0,0.0,0.0,0.0,task,5000,20260912,0.0,0,3,0.0,0,3,3,0,0.0,0,3,0.0,0,3,3,0
partial,original,bare,1,tce,task mean threshold distance,3,3,0,1.0,-1.3333333333333333,-4.0,0.0,-1.3333333333333333,-1.3333333333333333,task,5000,20260912,5.333333333333333,16,3,5.333333333333333,16,3,3,0,4.0,12,3,4.0,12,3,3,0
partial,original,bare,1,oracle_min_errors,task mean verdict errors,3,3,0,1.0,0.3333333333333333,-1.0,1.0,0.3333333333333333,0.3333333333333333,task,5000,20260912,1.3333333333333333,4,3,1.3333333333333333,4,3,3,0,1.6666666666666667,5,3,1.6666666666666667,5,3,3,0
partial,original,bare,1,oracle_fsrr_all,proportion,3,3,0,1.0,-0.3333333333333333,-1.0,0.0,-0.3333333333333333,-0.3333333333333333,task,5000,20260912,0.3333333333333333,1,3,0.3333333333333333,1,3,3,0,0.0,0,3,0.0,0,3,3,0
partial,original,bare,1,oracle_trr_all,proportion,3,3,0,1.0,-0.3333333333333333,-1.0,0.0,-0.3333333333333333,-0.3333333333333333,task,5000,20260912,0.3333333333333333,1,3,0.3333333333333333,1,3,3,0,0.0,0,3,0.0,0,3,3,0
