artifact_id,family,latent_level_original,canonical_z,j_star,nontrivial,truth_curve,pair_complete,immediate_rows,rts_rows,immediate_fsr,immediate_tr,immediate_separation_gap,immediate_gap_class,immediate_min_passing_margin,immediate_max_failing_margin,immediate_argmin_passing_strictness,immediate_argmax_failing_strictness,immediate_correct_points,immediate_accuracy,immediate_direct_all_nine_correct,immediate_predicted_first_fail,immediate_tce,immediate_cut_enumeration_fsr,immediate_cut_enumeration_tr,immediate_cut_states_enumerated,immediate_cut_witness_state_index,rts_fsr,rts_tr,rts_separation_gap,rts_gap_class,rts_min_passing_margin,rts_max_failing_margin,rts_argmin_passing_strictness,rts_argmax_failing_strictness,rts_correct_points,rts_accuracy,rts_direct_all_nine_correct,rts_predicted_first_fail,rts_tce,rts_cut_enumeration_fsr,rts_cut_enumeration_tr,rts_cut_states_enumerated,rts_cut_witness_state_index,fsr_change,transition
D3T-A-L0-I00,coverage,0,0,1,1,100000000,True,9,9,1,1,57.375,recoverable,27.75,-29.625,[0],[2],9,1,1,1,0,1,1,7,5,1,1,43.499999939580448,recoverable,22.124999780557118,-21.37500015902333,[0],[5],9,1,1,1,0,1,1,10,8,0,both_recoverable
D3T-A-L0-I01,coverage,0,0,1,1,100000000,True,9,9,1,1,57.75,recoverable,28.125,-29.625,[0],[8],9,1,1,1,0,1,1,9,7,1,1,42.31250013737008,recoverable,21.125000692438334,-21.187499444931746,[0],[3],9,1,1,1,0,1,1,10,8,0,both_recoverable
D3T-A-L0-I02,coverage,0,0,1,1,100000000,True,9,9,1,1,59,recoverable,29,-30,[0],[2],9,1,1,1,0,1,1,8,6,1,1,42.937499892897904,recoverable,21.374999100342393,-21.562500792555511,[0],[4],9,1,1,1,0,1,1,10,8,0,both_recoverable
D3T-A-L0-I03,coverage,0,0,1,1,100000000,True,9,9,1,1,56,recoverable,26.125,-29.875,[0],[4],9,1,1,1,0,1,1,6,4,1,1,43.74999890406616,recoverable,21.937499837717041,-21.812499066349119,[0],[4],9,1,1,1,0,1,1,10,8,0,both_recoverable
D3T-A-L0-I04,coverage,0,0,1,1,100000000,True,9,9,1,1,59.875,recoverable,30.125,-29.75,[0],[1],9,1,1,1,0,1,1,6,4,1,1,43.374998668441549,recoverable,21.999999472172931,-21.374999196268618,[0],[5],9,1,1,1,0,1,1,10,8,0,both_recoverable
D3T-A-L0-I05,coverage,0,0,1,1,100000000,True,9,9,1,1,57.125,recoverable,28.25,-28.875,[0],[8],9,1,1,1,0,1,1,9,7,1,1,44.687499991268851,recoverable,22.499999228864908,-22.187500762403943,[0],[5],9,1,1,1,0,1,1,10,8,0,both_recoverable
D3T-A-L0-I06,coverage,0,0,1,1,100000000,True,9,9,1,1,55.5,recoverable,27.875,-27.625,[0],[4],9,1,1,1,0,1,1,10,8,1,1,40.875000074040145,recoverable,18.999999810475856,-21.875000263564289,[0],[6],9,1,1,1,0,1,1,10,8,0,both_recoverable
D3T-A-L0-I07,coverage,0,0,1,1,100000000,True,9,9,1,1,58.375,recoverable,28.375,-30,[0],[4],9,1,1,1,0,1,1,8,6,1,1,43.749999543651938,recoverable,22.249999828636646,-21.499999715015292,[0],[3],9,1,1,1,0,1,1,10,8,0,both_recoverable
D3T-A-L0-I08,coverage,0,0,1,1,100000000,True,9,9,1,1,57.875,recoverable,28.25,-29.625,[0],[8],9,1,1,1,0,1,1,8,6,1,1,42.87500102026388,recoverable,20.500000941567123,-22.375000078696758,[0],[2],9,1,1,1,0,1,1,10,8,0,both_recoverable
D3T-A-L0-I09,coverage,0,0,1,1,100000000,True,9,9,1,1,57,recoverable,27.875,-29.125,[0],[4],9,1,1,1,0,1,1,8,6,1,1,42.625000324333087,recoverable,20.500000635394827,-22.12499968893826,[0],[5],9,1,1,1,0,1,1,10,8,0,both_recoverable
D3T-A-L0-I10,coverage,0,0,1,1,100000000,True,9,9,1,1,59.25,recoverable,29.125,-30.125,[0],[8],9,1,1,1,0,1,1,9,7,1,1,44.312501319451258,recoverable,22.500000381143764,-21.812500938307494,[0],[3],9,1,1,1,0,1,1,10,8,0,both_recoverable
D3T-A-L0-I11,coverage,0,0,1,1,100000000,True,9,9,1,1,58.625,recoverable,28.5,-30.125,[0],[4],9,1,1,1,0,1,1,9,7,1,1,41.812499255873263,recoverable,19.874999338760972,-21.937499917112291,[0],[6],9,1,1,1,0,1,1,10,8,0,both_recoverable
