artifact_id,family,latent_level,strictness_index,formal_truth,immediate_margin,immediate_margin_hex,rts_margin,rts_margin_hex
D3T-A-L0-I00,coverage,0,0,1,27.75,0x1.bc00000000000p+4,22.124999780557118,0x1.61ffffc518000p+4
D3T-A-L0-I00,coverage,0,1,0,-29.75,-0x1.dc00000000000p+4,-23.937499925494194,-0x1.7effffec00000p+4
D3T-A-L0-I00,coverage,0,2,0,-29.625,-0x1.da00000000000p+4,-22.687500087311491,-0x1.6b00001770000p+4
D3T-A-L0-I00,coverage,0,3,0,-29.875,-0x1.de00000000000p+4,-22.249999057501554,-0x1.63ffff0300000p+4
D3T-A-L0-I00,coverage,0,4,0,-29.75,-0x1.dc00000000000p+4,-22.375000156927854,-0x1.6600002a20000p+4
D3T-A-L0-I00,coverage,0,5,0,-31,-0x1.f000000000000p+4,-21.37500015902333,-0x1.5600002ab0000p+4
D3T-A-L0-I00,coverage,0,6,0,-29.875,-0x1.de00000000000p+4,-21.999999781604856,-0x1.5fffffc560000p+4
D3T-A-L0-I00,coverage,0,7,0,-30.375,-0x1.e600000000000p+4,-22.250000756699592,-0x1.640000cb20000p+4
D3T-A-L0-I00,coverage,0,8,0,-29.875,-0x1.de00000000000p+4,-21.937499780673534,-0x1.5effffc520000p+4
D3T-A-L0-I01,coverage,0,0,1,28.125,0x1.c200000000000p+4,21.125000692438334,0x1.520000b9e0000p+4
D3T-A-L0-I01,coverage,0,1,0,-30.5,-0x1.e800000000000p+4,-23.187499617692083,-0x1.72ffff9960000p+4
D3T-A-L0-I01,coverage,0,2,0,-30.625,-0x1.ea00000000000p+4,-23.062500566942617,-0x1.7100009830000p+4
D3T-A-L0-I01,coverage,0,3,0,-30.625,-0x1.ea00000000000p+4,-21.187499444931746,-0x1.52ffff6b00000p+4
D3T-A-L0-I01,coverage,0,4,0,-30,-0x1.e000000000000p+4,-22.750000639352947,-0x1.6c0000aba0000p+4
D3T-A-L0-I01,coverage,0,5,0,-30.875,-0x1.ee00000000000p+4,-22.187500513158739,-0x1.63000089c0000p+4
D3T-A-L0-I01,coverage,0,6,0,-29.875,-0x1.de00000000000p+4,-22.374999997671694,-0x1.65ffffff60000p+4
D3T-A-L0-I01,coverage,0,7,0,-30.25,-0x1.e400000000000p+4,-21.87499942490831,-0x1.5dffff65a0000p+4
D3T-A-L0-I01,coverage,0,8,0,-29.625,-0x1.da00000000000p+4,-21.312500057742,-0x1.5500000f80000p+4
D3T-A-L0-I02,coverage,0,0,1,29,0x1.d000000000000p+4,21.374999100342393,0x1.55ffff0e80000p+4
D3T-A-L0-I02,coverage,0,1,0,-30.75,-0x1.ec00000000000p+4,-23.437500057858415,-0x1.7700000f88000p+4
D3T-A-L0-I02,coverage,0,2,0,-30,-0x1.e000000000000p+4,-23.374999414896592,-0x1.75ffff62f0000p+4
D3T-A-L0-I02,coverage,0,3,0,-30.125,-0x1.e200000000000p+4,-22.31250048847869,-0x1.6500008320000p+4
D3T-A-L0-I02,coverage,0,4,0,-30.125,-0x1.e200000000000p+4,-21.562500792555511,-0x1.590000d4c0000p+4
D3T-A-L0-I02,coverage,0,5,0,-30.875,-0x1.ee00000000000p+4,-21.687499876134098,-0x1.5affffdec0000p+4
D3T-A-L0-I02,coverage,0,6,0,-30.375,-0x1.e600000000000p+4,-22.562500247266144,-0x1.6900004260000p+4
D3T-A-L0-I02,coverage,0,7,0,-30.5,-0x1.e800000000000p+4,-22.125000383704901,-0x1.6200006700000p+4
D3T-A-L0-I02,coverage,0,8,0,-30.5,-0x1.e800000000000p+4,-22.562500613974407,-0x1.690000a4d0000p+4
D3T-A-L0-I03,coverage,0,0,1,26.125,0x1.a200000000000p+4,21.937499837717041,0x1.5effffd470000p+4
D3T-A-L0-I03,coverage,0,1,0,-30.625,-0x1.ea00000000000p+4,-24.062499522988219,-0x1.80ffff7ff4000p+4
D3T-A-L0-I03,coverage,0,2,0,-30.625,-0x1.ea00000000000p+4,-23.749999209539965,-0x1.7bffff2bd0000p+4
