family,subset,protocol,population,n_curves,n_scoring_rows,correct_points,accuracy_percent,tce_sum,mean_tce,all_nine_correct_count,all_nine_correct_percent,tr_successes,trr_percent,fsr_successes,fsrr_percent,constant_oracle_fsr_successes,fsrr_ci_low_percent,fsrr_ci_high_percent,paired_fsrr_delta_pp,paired_fsrr_delta_ci_low_pp,paired_fsrr_delta_ci_high_pp
all,all,immediate,common_complete_pairs,324,2916,2239,76.783264746227715,1093,3.3734567901234569,60,18.518518518518519,,,,,,,,,,
all,all,rts,common_complete_pairs,324,2916,2814,96.502057613168731,493,1.521604938271605,229,70.679012345679013,,,,,,,,,,
all,nontrivial,immediate,common_complete_pairs,288,2592,1934,74.614197530864203,985,3.4201388888888888,36,12.5,138,47.916666666666671,136,47.222222222222221,,42.013888888888893,52.083333333333336,37.5,31.597222222222221,43.055555555555557
all,nontrivial,rts,common_complete_pairs,288,2592,2501,96.489197530864203,394,1.3680555555555556,204,70.833333333333343,258,89.583333333333343,244,84.722222222222214,,80.902777777777786,88.194444444444443,37.5,31.597222222222221,43.055555555555557
all,constant,immediate,common_complete_pairs,36,324,305,94.135802469135797,108,3,24,66.666666666666657,,,,,36,,,,,
all,constant,rts,common_complete_pairs,36,324,313,96.604938271604937,99,2.75,25,69.444444444444443,,,,,36,,,,,
coverage,all,immediate,common_complete_pairs,108,972,806,82.921810699588477,528,4.8888888888888893,12,11.111111111111111,,,,,,,,,,
coverage,all,rts,common_complete_pairs,108,972,876,90.123456790123456,487,4.5092592592592595,19,17.592592592592592,,,,,,,,,,
coverage,nontrivial,immediate,common_complete_pairs,96,864,717,82.986111111111114,420,4.375,12,12.5,33,34.375,33,34.375,,25,43.75,23.958333333333336,10.416666666666668,36.458333333333329
coverage,nontrivial,rts,common_complete_pairs,96,864,779,90.162037037037038,388,4.041666666666667,18,18.75,70,72.916666666666657,56,58.333333333333336,,47.916666666666671,67.708333333333343,23.958333333333336,10.416666666666668,36.458333333333329
coverage,constant,immediate,common_complete_pairs,12,108,89,82.407407407407405,108,9,0,0,,,,,12,,,,,
coverage,constant,rts,common_complete_pairs,12,108,97,89.81481481481481,99,8.25,1,8.3333333333333321,,,,,12,,,,,
max_violation,all,immediate,common_complete_pairs,108,972,628,64.609053497942384,401,3.7129629629629628,16,14.814814814814813,,,,,,,,,,
max_violation,all,rts,common_complete_pairs,108,972,966,99.382716049382722,6,0.055555555555555552,102,94.444444444444443,,,,,,,,,,
max_violation,nontrivial,immediate,common_complete_pairs,96,864,520,60.185185185185183,401,4.177083333333333,4,4.1666666666666661,24,25,24,25,,16.666666666666664,33.333333333333329,70.833333333333343,61.458333333333336,80.208333333333343
max_violation,nontrivial,rts,common_complete_pairs,96,864,858,99.305555555555557,6,0.0625,90,93.75,92,95.833333333333343,92,95.833333333333343,,91.666666666666657,98.958333333333343,70.833333333333343,61.458333333333336,80.208333333333343
max_violation,constant,immediate,common_complete_pairs,12,108,108,100,0,0,12,100,,,,,12,,,,,
max_violation,constant,rts,common_complete_pairs,12,108,108,100,0,0,12,100,,,,,12,,,,,
numeric_tolerance,all,immediate,common_complete_pairs,108,972,805,82.818930041152257,164,1.5185185185185186,32,29.629629629629626,,,,,,,,,,
numeric_tolerance,all,rts,common_complete_pairs,108,972,972,100,0,0,108,100,,,,,,,,,,
numeric_tolerance,nontrivial,immediate,common_complete_pairs,96,864,697,80.671296296296291,164,1.7083333333333333,20,20.833333333333336,81,84.375,79,82.291666666666657,,73.958333333333343,89.583333333333343,17.708333333333336,10.416666666666668,26.041666666666668
numeric_tolerance,nontrivial,rts,common_complete_pairs,96,864,864,100,0,0,96,100,96,100,96,100,,100,100,17.708333333333336,10.416666666666668,26.041666666666668
numeric_tolerance,constant,immediate,common_complete_pairs,12,108,108,100,0,0,12,100,,,,,12,,,,,
numeric_tolerance,constant,rts,common_complete_pairs,12,108,108,100,0,0,12,100,,,,,12,,,,,
